,Answer
0,0.0877077265791
1,0.170073864186
2,0.16404706813
3,0.129469789701
4,0.193506734934
5,0.13996275925
6,0.270545935078
7,0.251595864246
8,0.251595864246
9,0.233244536255
10,0.233244536255
11,0.36481966855
12,0.162838087277
13,0.286635560094
14,0.170073864186
15,0.216575053138
16,0.187072648972
17,0.322203353693
18,0.314488334531
19,0.366833362432
20,0.939832499522
21,0.1931665233
22,0.18568266072
23,0.054328556425
24,0.0805056787383
25,0.147348921577
26,0.192321443886
27,0.179931740834
28,0.170073864186
29,0.170073864186
30,0.114061843586
31,0.114061843586
32,0.1931665233
33,0.10889641089
34,0.0160656508521
35,0.0980824725586
36,0.0980824725586
37,0.0873730766551
38,0.0873730766551
39,0.0822287847526
40,0.0822287847526
41,0.366859879202
42,0.366859879202
43,0.364334064806
44,0.809421349108
45,0.560380254583
46,0.297458699409
47,0.1931665233
48,0.170073864186
49,0.222266213453
50,0.617582134926
51,0.536731399948
52,0.321923330368
53,0.220371741373
54,0.140239845567
55,0.242856090766
56,0.242856090766
57,0.115712854173
58,0.115712854173
59,0.115712854173
60,0.222266213453
61,0.140239845567
62,0.0949002593651
63,0.0949002593651
64,0.0570536857879
65,0.143032962407
66,0.170073864186
67,0.170073864186
68,0.170073864186
69,0.170073864186
70,0.170073864186
71,0.170073864186
72,0.170073864186
73,0.132294322866
74,0.132294322866
75,0.132294322866
76,0.0825903252741
77,0.0825903252741
78,0.176305778032
79,0.130977407052
80,0.0784817276646
81,0.178628840292
82,0.100723690618
83,0.0832044283434
84,0.115437632612
85,0.180345502016
86,0.118304781833
87,0.0689948019062
88,0.0327005441324
89,0.0489965715734
90,0.092304320483
91,0.0983105445433
92,0.0983105445433
93,0.114347640634
94,0.114347640634
95,0.0651321089502
96,0.0651321089502
97,0.147570479402
98,0.123561133276
99,0.163030125654
100,0.163030125654
101,0.137891866308
102,0.13234867168
103,0.754591629023
104,0.170073864186
105,0.170073864186
106,0.126142091937
107,0.126142091937
108,0.200921588646
109,0.135956253589
110,0.16039147902
111,0.267964984212
112,0.316137539465
113,0.312197353959
114,0.480369412773
115,0.925725895743
116,0.172344789289
117,0.160704110363
118,0.118101556888
119,0.118101556888
120,0.15325149836
121,0.15325149836
122,0.091229816104
123,0.0990304548931
124,0.111999458612
125,0.126398015204
126,0.118518105308
127,0.181032306392
128,0.564573197601
129,0.0918942285637
130,0.0551148862895
131,0.554836073753
132,0.91599178706
133,0.176305778032
134,0.170073864186
135,0.170073864186
136,0.159383654867
137,0.176305778032
138,0.147596810027
139,0.116005697231
140,0.235338387416
141,0.142818595145
142,0.505520253847
143,0.419761810798
144,0.356402199762
145,0.508625310863
146,0.369669814129
147,0.327703017152
148,0.0301354658252
149,0.429189556898
150,0.319835078687
151,0.264678353627
152,0.0802875432746
153,0.203811990584
154,0.203811990584
155,0.215468594638
156,0.203811990584
157,0.203811990584
158,0.203811990584
159,0.0605871883598
160,0.0605871883598
161,0.0296756936323
162,0.170073864186
163,0.047681836665
164,0.0124576708024
165,0.0330636155395
166,0.054147866609
