Num,y
348622,1832.50157434
348623,22308.934516
348624,295334.581463
348625,30407.5390818
348626,33.0406755298
348627,131942.738528
348628,92090.1223099
348629,91339.4765338
348630,94754.4698642
348631,3502.12396334
348632,1030.82828833
348633,75517.8637179
348634,290211.370266
348635,28756.1513241
348636,2663.47620084
348637,170891.772842
348638,101581.201703
348639,450569.174624
348640,479548.907999
348641,2929.72802186
348642,112088.11744
348643,93961.9071357
348644,1272.82406377
348645,20243.3091118
348646,8769.25921321
348647,122406.095295
348648,6380.87900978
348649,29568.1587735
348650,6201.48919976
348651,19910.6201156
348652,19318.418283
348653,226725.277172
348654,7999.17894437
348655,24619.8907254
348656,11167.2074516
348657,3053.81619958
348658,51785.0413734
348659,1307.81074536
348660,405.107685334
348661,11064.0511769
348662,5662.13316739
348663,15118.7407728
348664,1095583.07248
348665,93593.6306384
348666,295730.529802
348667,823644.630905
348668,98363.8865139
348669,34695.2453223
348670,22652.7701735
348671,60.4628882732
348672,51082.3366524
348673,240.395719983
348674,453.976125606
348675,2219957.34285
348676,350391.976295
348677,7351.73014933
348678,56466.744662
348679,290431.62358
348680,15100.4331305
348681,1566.93649304
348682,29768.7512129
348683,2916.57511191
348684,2128.59025068
348685,19388.8291053
348686,90569.789815
348687,7435.85734474
348688,82015.8428019
348689,6720.84917953
348690,8630.76893679
348691,185045.720895
348692,18021.1730095
348693,158307.172645
348694,127469.260548
348695,119109.143278
348696,93239.9949132
348697,97502.8370951
348698,1134.21697936
348699,16304.2024737
348700,11898.4330927
348701,92262.3382809
348702,8468.12034846
348703,46519.0496651
348704,89218.8569795
348705,135390.540763
348706,108072.8161
348707,20011.2327085
348708,7449.2098435
348709,72575.1152417
348710,88979.5591081
348711,32454.7098886
348712,6202.85235263
348713,99773.054665
348714,101218.295948
348715,157161.510642
348716,9686.04467871
348717,185.501700515
348718,2340.57671352
348719,4571.23108241
348720,13992.6423811
348721,161157.212508
348722,1520.01467528
348723,416.633607131
348724,15740.1419875
348725,7018.76691145
348726,5824.08418344
348727,80776.4304534
348728,286998.145568
348729,30180.6712044
348730,968641.976673
348731,294769.944369
348732,34373.6648582
348733,163602.49834
348734,1579.64810765
348735,2163886.36312
348736,66664.7200271
348737,46000.5661654
348738,637728.082128
348739,507746.162041
348740,538167.603472
348741,1153183.31264
348742,125557.020731
348743,110756.646341
348744,2957.30813211
348745,9440.11190301
348746,339.126058776
348747,11880.7742098
348748,97213.8198504
348749,4278.23499306
